Umsatz;Soll/Haben;WKZ Umsatz;Konto;Gegenkonto;BU-Schlüssel;Belegdatum;Belegfeld 1;Buchungstext
19,32;Soll;EUR;3400;;;04.06.2026;JE-000074;Aufwand ER000152
19,32;Haben;EUR;1600;;;04.06.2026;JE-000074;Verbindlichkeit ER000152
